Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-06,0,Other,"  45,500 ",GO-FOOD,,,,
2016-01-06,10,Other,"  176,540 ",GO-RIDE,,,,
2016-01-06,0,Other,"  45,500 ",GO-SEND,,,,
2016-01-06,0,Other,"  27,300 ",GO-SHOP,,,,
2016-01-07,200,Cancelled,"  83,905,185 ",GO-BOX,,,,
2016-01-07,10,Cancelled,"  1,947,400 ",GO-CLEAN,,,,
2016-01-07,33540,Cancelled,"  580,307,000 ",GO-FOOD,,,,
2016-01-07,10,Cancelled,"  819,000 ",GO-GLAM,,,,
2016-01-07,0,Cancelled,"  54,600 ",GO-KILAT,,,,
2016-01-07,1510,Cancelled,"  21,075,600 ",GO-MART,,,,
2016-01-07,50,Cancelled,"  10,255,700 ",GO-MASSAGE,,,,
2016-01-07,66710,Cancelled,"  1,494,727,780 ",GO-RIDE,,,,
2016-01-07,7200,Cancelled,"  284,804,520 ",GO-SEND,,,,
2016-01-07,11940,Cancelled,"  310,664,900 ",GO-SHOP,,,,
2016-01-07,370,Cancelled,  -   ,GO-TIX,,,,
2016-01-07,440,Completed,"  189,356,895 ",GO-BOX,,,,
2016-01-07,120,Completed,"  17,952,480 ",GO-CLEAN,,,,
2016-01-07,68630,Completed,"  1,159,558,400 ",GO-FOOD,,,,
2016-01-07,30,Completed,"  6,106,100 ",GO-GLAM,,,,
2016-01-07,30,Completed,"  600,600 ",GO-KILAT,,,,
2016-01-07,2040,Completed,"  28,592,200 ",GO-MART,,,,
2016-01-07,340,Completed,"  66,606,540 ",GO-MASSAGE,,,,
2016-01-07,349780,Completed,"  7,342,427,820 ",GO-RIDE,,,,
2016-01-07,33000,Completed,"  1,217,767,460 ",GO-SEND,,,,
2016-01-07,16380,Completed,"  403,852,540 ",GO-SHOP,,,,
2016-01-07,50,Completed,  -   ,GO-TIX,,,,
2016-01-07,40,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-07,30,No Driver Found,"  19,274,710 ",GO-BOX,,,,
2016-01-07,1560,No Driver Found,"  32,614,400 ",GO-FOOD,,,,
2016-01-07,20,No Driver Found,"  3,822,000 ",GO-GLAM,,,,
2016-01-07,30,No Driver Found,"  4,868,500 ",GO-MASSAGE,,,,
2016-01-07,10060,No Driver Found,"  212,282,980 ",GO-RIDE,,,,
2016-01-07,550,No Driver Found,"  20,884,500 ",GO-SEND,,,,
2016-01-07,40,No Driver Found,"  1,350,440 ",GO-SHOP,,,,
2016-01-07,10,Other,"  238,420 ",GO-RIDE,,,,
2016-01-08,300,Cancelled,"  123,198,530 ",GO-BOX,,,,
2016-01-08,0,Cancelled,"  391,300 ",GO-CLEAN,,,,
2016-01-08,35960,Cancelled,"  628,600,700 ",GO-FOOD,,,,
2016-01-08,0,Cancelled,"  609,700 ",GO-GLAM,,,,
2016-01-08,10,Cancelled,"  109,200 ",GO-KILAT,,,,
2016-01-08,1920,Cancelled,"  26,899,600 ",GO-MART,,,,
2016-01-08,40,Cancelled,"  7,653,100 ",GO-MASSAGE,,,,
2016-01-08,64140,Cancelled,"  1,475,306,560 ",GO-RIDE,,,,
2016-01-08,6950,Cancelled,"  276,470,740 ",GO-SEND,,,,
2016-01-08,13520,Cancelled,"  352,230,060 ",GO-SHOP,,,,
2016-01-08,460,Cancelled,  -   ,GO-TIX,,,,
2016-01-08,700,Completed,"  297,318,840 ",GO-BOX,,,,
2016-01-08,110,Completed,"  18,787,860 ",GO-CLEAN,,,,
2016-01-08,74460,Completed,"  1,259,713,000 ",GO-FOOD,,,,
2016-01-08,50,Completed,"  8,781,500 ",GO-GLAM,,,,
2016-01-08,40,Completed,"  764,400 ",GO-KILAT,,,,
2016-01-08,2360,Completed,"  33,051,200 ",GO-MART,,,,
2016-01-08,290,Completed,"  57,129,800 ",GO-MASSAGE,,,,
2016-01-08,397650,Completed,"  8,308,940,640 ",GO-RIDE,,,,
2016-01-08,37000,Completed,"  1,356,899,180 ",GO-SEND,,,,
2016-01-08,17680,Completed,"  437,002,020 ",GO-SHOP,,,,
2016-01-08,30,Completed,  -   ,GO-TIX,,,,
2016-01-08,50,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-08,70,No Driver Found,"  44,452,590 ",GO-BOX,,,,
2016-01-08,0,No Driver Found,"  163,800 ",GO-CLEAN,,,,
2016-01-08,2340,No Driver Found,"  49,112,700 ",GO-FOOD,,,,
2016-01-08,30,No Driver Found,"  5,541,900 ",GO-GLAM,,,,
2016-01-08,10,No Driver Found,"  1,219,400 ",GO-MASSAGE,,,,
2016-01-08,4490,No Driver Found,"  94,874,780 ",GO-RIDE,,,,
2016-01-08,220,No Driver Found,"  8,341,060 ",GO-SEND,,,,
2016-01-08,50,No Driver Found,"  1,430,520 ",GO-SHOP,,,,
2016-01-08,0,Other,"  54,600 ",GO-FOOD,,,,
2016-01-08,20,Other,"  436,800 ",GO-RIDE,,,,
2016-01-08,0,Other,"  27,300 ",GO-SEND,,,,
2016-01-09,320,Cancelled,"  142,122,890 ",GO-BOX,,,,
2016-01-09,30,Cancelled,"  4,904,900 ",GO-CLEAN,,,,
2016-01-09,31730,Cancelled,"  558,521,600 ",GO-FOOD,,,,
2016-01-09,10,Cancelled,"  1,365,000 ",GO-GLAM,,,,
2016-01-09,10,Cancelled,"  191,100 ",GO-KILAT,,,,
2016-01-09,1680,Cancelled,"  23,496,200 ",GO-MART,,,,
2016-01-09,70,Cancelled,"  12,831,000 ",GO-MASSAGE,,,,
2016-01-09,56960,Cancelled,"  1,371,013,280 ",GO-RIDE,,,,
2016-01-09,4410,Cancelled,"  176,314,320 ",GO-SEND,,,,
2016-01-09,13510,Cancelled,"  348,100,480 ",GO-SHOP,,,,
2016-01-09,440,Cancelled,  -   ,GO-TIX,,,,
2016-01-09,760,Completed,"  294,996,520 ",GO-BOX,,,,
2016-01-09,210,Completed,"  35,651,980 ",GO-CLEAN,,,,
2016-01-09,76850,Completed,"  1,284,119,200 ",GO-FOOD,,,,
2016-01-09,70,Completed,"  10,874,500 ",GO-GLAM,,,,
2016-01-09,20,Completed,"  464,100 ",GO-KILAT,,,,
2016-01-09,2300,Completed,"  32,159,400 ",GO-MART,,,,
2016-01-09,470,Completed,"  88,687,690 ",GO-MASSAGE,,,,
2016-01-09,268050,Completed,"  5,697,076,840 ",GO-RIDE,,,,
2016-01-09,23800,Completed,"  882,028,420 ",GO-SEND,,,,
2016-01-09,16950,Completed,"  413,886,200 ",GO-SHOP,,,,
2016-01-09,40,Completed,  -   ,GO-TIX,,,,
2016-01-09,50,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-09,60,No Driver Found,"  39,497,185 ",GO-BOX,,,,
2016-01-09,0,No Driver Found,"  737,100 ",GO-CLEAN,,,,
2016-01-09,2210,No Driver Found,"  45,864,000 ",GO-FOOD,,,,
2016-01-09,30,No Driver Found,"  4,935,840 ",GO-GLAM,,,,
2016-01-09,0,No Driver Found,"  27,300 ",GO-KILAT,,,,
2016-01-09,0,No Driver Found,"  18,200 ",GO-MART,,,,
2016-01-09,20,No Driver Found,"  3,225,040 ",GO-MASSAGE,,,,
2016-01-09,2160,No Driver Found,"  52,561,600 ",GO-RIDE,,,,
2016-01-09,240,No Driver Found,"  8,548,540 ",GO-SEND,,,,
2016-01-09,110,No Driver Found,"  2,717,260 ",GO-SHOP,,,,
2016-01-09,160,Other,"  3,075,800 ",GO-FOOD,,,,
2016-01-09,0,Other,"  36,400 ",GO-MART,,,,
2016-01-09,1420,Other,"  33,083,960 ",GO-RIDE,,,,
2016-01-09,50,Other,"  1,845,480 ",GO-SEND,,,,
2016-01-09,50,Other,"  1,190,280 ",GO-SHOP,,,,
2016-01-09,0,Other,  -   ,GO-TIX,,,,
2016-01-10,250,Cancelled,"  108,576,650 ",GO-BOX,,,,
2016-01-10,20,Cancelled,"  3,549,000 ",GO-CLEAN,,,,
2016-01-10,39150,Cancelled,"  690,926,600 ",GO-FOOD,,,,
2016-01-10,10,Cancelled,"  973,700 ",GO-GLAM,,,,
2016-01-10,10,Cancelled,"  109,200 ",GO-KILAT,,,,
